Stock,MSE
MMM,2.9087942239299793
AOS,1.3504467016253034
ABT,2.152714669076623
ABBV,3.6049584601816447
ACN,24.57569510717781
ADBE,100.4234858312632
AMD,14.922715852850356
AES,0.18505238658178547
AFL,0.7644066190514353
A,3.8407278808196326
APD,29.942897465152583
ABNB,15.503673225100151
AKAM,2.1976620080909086
ALB,41.702848586940064
ARE,7.441298362520761
ALGN,156.39078127089456
ALLE,3.5288841830194384
LNT,0.4904940419663143
ALL,6.023427508487181
GOOGL,6.742920696894606
GOOG,6.797372529683382
MO,0.3584568153251443
AMZN,9.7235332863706
AMCR,0.02540221875566745
AEE,1.013546070465585
AEP,1.178834364698999
AXP,11.245762255675057
AIG,0.8816432987808319
AMT,13.592558579341688
AWK,3.7103886128733286
AMP,26.4036696051213
AME,2.690325172550811
AMGN,12.06759594242694
APH,0.461955626063387
ADI,7.848705477823427
ANSS,34.72619571099994
AON,14.028494108190902
APA,0.9764119587232885
APO,2.9373947950342574
AAPL,6.730433504789677
AMAT,14.9170265782774
APTV,6.8168309135339715
ACGL,1.0379233601470286
ADM,1.12336621485564
ANET,1.6917479742871457
AJG,6.027309140752214
AIZ,5.146801067552958
T,0.10255847420534106
ATO,1.4756143509596593
ADSK,22.82389598579086
ADP,12.76392955037768
AZO,1382.056692301161
AVB,6.691633508218345
AVY,7.097115747232915
AXON,31.113854160455965
BKR,0.3344394860373537
BALL,1.29730523172198
BAC,0.30575578761212546
BAX,0.8621039974139817
BDX,7.953573652594802
BBY,4.218105027864764
TECH,3.742132744543866
BIIB,19.731092494795643
BLK,134.6853679552949
BX,6.200857284867244
BK,0.5369313985048613
BA,19.224531846412486
BKNG,2551.1585548901153
BWA,0.6236732799815202
BSX,0.5104439150168941
BMY,0.5508745792862731
AVGO,7.763782796947323
BR,5.341913549121505
BRO,1.1922574090249636
BLDR,15.034728568060473
BG,2.4680325590432526
BXP,3.1824443674994396
CHRW,2.2976104401618143
CDNS,20.157221731853006
CZR,3.9468311466123973
CPT,3.0430548109959323
CPB,0.39236110197466206
COF,7.296176711882423
CAH,1.3420903622387217
KMX,4.255858130553317
CCL,0.33115447603509274
CARR,1.1569995152147359
CAT,18.492427397579288
CBOE,3.6739700685433125
CBRE,2.631065819349764
CDW,10.222852477597804
CE,4.922317947551643
COR,4.592901116344627
CNC,1.4854408371549124
CNP,0.12760435948290472
CF,2.904326643009861
CRL,28.67657984752197
SCHW,1.9615747011348363
CHTR,74.43512694407812
CVX,6.591831421562855
CMG,0.5798203062420819
CB,7.862407294541539
CHD,1.4599272673936052
CI,20.15182656888255
CINF,2.786188278828544
CTAS,2.8220834486626973
CSCO,0.5913009637783988
C,0.8535898499439971
CFG,0.6958827445388786
CLX,6.42167149607417
CME,6.890552468241196
CMS,0.5807391487709203
KO,0.4231445933174976
CTSH,1.0560269996790812
CL,0.8009905573380531
CMCSA,0.3155964127717436
CAG,0.20116952565181165
COP,4.6086753239275895
ED,1.0547876978099422
STZ,16.29504613660072
CEG,35.10871603216435
COO,1.4033556843952522
CPRT,0.3631765938513842
GLW,0.3919501923717299
CPAY,15.68267261752161
CTVA,0.6752081526931364
CSGP,1.9066194718295941
COST,65.64321438574882
CTRA,0.28853385607565996
CRWD,58.466087523505934
CCI,6.070655946274718
CSX,0.19161547835089326
CMI,15.453149835116808
CVS,1.6912824434676892
DHR,14.068252438042409
DRI,5.220627851364912
DVA,4.485957220453641
DAY,3.457834825802194
DECK,4.671890503879951
DE,46.48739594716768
DELL,6.615170995050479
DAL,0.929449767701037
DVN,1.9253098209563337
DXCM,7.275834320654273
FANG,10.495034235822962
DLR,5.762845353260126
DFS,5.682010796034571
DG,13.23329414339824
DLTR,8.489318409196175
D,0.7318422194896473
DPZ,48.830332577493344
DOV,4.372676860035716
DOW,0.7779043563949587
DHI,6.3880720476577055
DTE,1.7829779538181052
DUK,1.344941693936549
DD,1.563447552870368
EMN,2.6047534626950557
ETN,15.04165193587499
EBAY,1.0218717946505425
ECL,6.407381281325452
EIX,0.952161032721062
EW,5.656853164867362
EA,2.5737669158081817
ELV,37.121349674200395
EMR,1.6981926301947081
ENPH,45.465501151179424
ETR,0.5148254302204819
EOG,5.9266839267697975
EPAM,239.52430050711905
EQT,0.9143549928892478
EFX,15.182503025873231
EQIX,185.2854447060375
EQR,0.8906836730617046
ERIE,22.419450690085775
ESS,15.87041796321703
EL,34.114432573015314
EG,31.185030554240583
EVRG,0.5209598960677994
ES,1.1245294228168525
EXC,0.2191654782363416
EXPE,18.092825165590725
EXPD,3.0482303048717405
EXR,6.663879393843267
XOM,2.897483306365137
FFIV,9.44531690754605
FDS,50.593776727296486
FICO,433.5387091793912
FAST,0.7460429547867893
FRT,2.525800070177719
FDX,17.102085361938105
FIS,2.8595906397817816
FITB,0.5248119247753518
FSLR,35.21222447849562
FE,0.22650413283478452
FI,3.0449288948434563
FMC,4.22220715675612
F,0.13497451152110884
FTNT,1.7666206026249953
FTV,1.2415297111525168
FOXA,0.3909987636641121
FOX,0.322371692962429
BEN,0.2542314333292128
FCX,0.8767058575281118
GRMN,9.91695896628602
IT,26.631099977455037
GE,4.464795189776276
GEHC,1.2817349315462963
GEN,0.1698122965872468
GNRC,65.09374813356405
GD,11.806720655561902
GIS,0.9506214205721223
GM,1.1116552830167832
GPC,8.026501186983216
GILD,0.9526149828051508
GPN,8.6830566077673
GL,2.0327071327348993
GDDY,2.670919266914857
GS,28.895966129993617
HAL,0.6456587449332063
HIG,1.159505216729802
HAS,1.985759016945499
HCA,16.392208469711825
